"Gene","Type","Mean_TPM","Median_TPM","SD_TPM","N_samples"
"EGFR","GTEx_Brain",3.9,3.45,2.48,2931
"EGFR","TCGA_Normal",9.85,8.1,2.58,5
"EGFR","TCGA_Tumor",591.52,201.26,834.46,324
"NF1","GTEx_Brain",5.39,4.68,3.34,2931
"NF1","TCGA_Normal",17.71,18.33,3.22,5
"NF1","TCGA_Tumor",14.97,12.05,10.35,324
"PTEN","GTEx_Brain",11.57,7.96,10.04,2931
"PTEN","TCGA_Normal",29.63,31.81,7.35,5
"PTEN","TCGA_Tumor",17.2,16.35,10.26,324
"TP53","GTEx_Brain",2.77,2.28,2.4,2931
"TP53","TCGA_Normal",8.42,7.07,3.8,5
"TP53","TCGA_Tumor",40.25,34.57,28.02,324
